РУСАЛ Братский алюм. з-д об 08,RU000A0JRF11,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
РусГидро (ПАО) 01,RU000A0JRFN1,,,,47.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
РусГидро (ПАО) 02,RU000A0JRFP6,,,,47.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Акрон (ПАО) об. сер. 04,RU000A0JRHF3,,,,,32.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Акрон (ПАО) об. сер. 05,RU000A0JRHG1,,,,,32.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Запад.скор.диаметр АО об.01,RU000A0JRJB8,,,,,52.06,,,,,,52.06,,,,,,52.06,,,,,,52.06,,,,,,52.06,,,,,,52.06,,,,,,52.06,,,,,,52.06,,
Волга-Спорт АО обл. 01,RU000A0JRJC6,,79.02,,,,,,,,,,,,79.02,,,,,,,,79.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
Запад.скор.диаметр АО об.02,RU000A0JRJL7,,,,,52.06,,,,,,52.06,,,,,,52.06,,,,,,52.06,,,,,,52.06,,,,,,52.06,,,,,,52.06,,,,,,52.06,,
Мечел ПАО 17 обл.,RU000A0JRJS2,,,,,7.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Мечел ПАО 18 обл.,RU000A0JRJT0,,,,,7.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ННК АО 04,RU000A0JRJV6,,,,,,33.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Мечел ПАО 19 обл.,RU000A0JRJY0,,,,,,7.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ННК АО 06,RU000A0JRK22,,,,,,33.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Санкт-Пет.Телеком АО обл. 01,RU000A0JRKC4,,,,,,42.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Санкт-Пет.Телеком АО обл. 02,RU000A0JRKD2,,,,,,27.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Санкт-Пет.Телеком АО обл. 03,RU000A0JRKM3,,,,,,27.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""ФСК ЕЭС""(ПАО)-обл. сер.13",RU000A0JRL96,,,,,,42.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Россельхозбанк"" (АО) обл.14",RU000A0JRLE8,,,,,,40.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Россельхозбанк"" (АО) обл.12",RU000A0JRMB2,,,,,,40.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Россельхозбанк"" (АО) обл.13",RU000A0JRMC0,,,,,,,40.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ВТБ об. 2-ИП класса ""А""",RU000A0JRSW5,,1.90,,,1.90,,,1.90,,,1.90,,,1.90,,,1.90,,,1.90,,,1.90,,,1.90,,,1.90,,,1.90,,,1.90,,,1.90,,,1.90,,,1.90,,,1.90,,
"ВТБ об. 2-ИП класса ""Б""",RU000A0JRSX3,,0.63,,,0.63,,,0.63,,,0.63,,,0.63,,,0.63,,,0.63,,,0.63,,,0.63,,,0.63,,,0.63,,,0.63,,,0.63,,,0.63,,,0.63,,,0.63,,
ВЭБ.РФ об. сер. 10,RU000A0JRTN2,,,29.52,,,,,,29.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uranium One Inc. 01,RU000A0JRTS1,,,,,0.00,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uranium One Inc. 02,RU000A0JRTT9,,51.11,,,,,,51.11,,,,,,51.11,,,,,,51.11,,,,,,51.11,,,,,,51.11,,,,,,,,,,,,,,,,,
Северо-Зап.концес.комп. сер.03,RU000A0JRU20,,,,24.39,,,,,,24.39,,,,,,24.39,,,,,,24.39,,,,,,24.39,,,,,,24.39,,,,,,24.39,,,,,,24.39,,,
Северо-Зап.концес.комп. сер.04,RU000A0JRU46,,,,24.39,,,,,,24.39,,,,,,24.39,,,,,,24.39,,,,,,24.39,,,,,,24.39,,,,,,24.39,,,,,,24.39,,,
ВЭБ-лизинг АО об. 08,RU000A0JRUY7,,,,36.15,,,,,,36.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ВЭБ-лизинг АО об. 09,RU000A0JRV52,,,,36.15,,,,,,36.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Россельхозбанк"" (АО) обл.15",RU000A0JRVN8,,,,34.90,,,,,,34.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Санкт-Пет.Телеком АО обл. 07,RU000A0JRVU3,,,,49.61,,,,,,49.61,,,,,,49.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПАО ОТКРЫТИЕ ФК Банк БО-03,RU000A0JRZ74,,,,,,,0.05,,,,,,0.05,,,,,,0.05,,,,,,0.05,,,,,,0.05,,,,,,0.05,,,,,,0.05,,,,,,0.05
ИА АИЖК 2011-1 ЗАО кл.А1/11,RU000A0JS1A6,,0.81,,,0.81,,,0.81,,,0.81,,,0.81,,,0.81,,,0.81,,,0.81,,,0.81,,,0.81,,,0.81,,,0.81,,,0.81,,,0.81,,,0.81,,,0.81,,
ИА АИЖК 2011-1 ЗАО кл.А2/11,RU000A0JS1B4,,0.27,,,0.27,,,0.27,,,0.27,,,0.27,,,0.27,,,0.27,,,0.27,,,0.27,,,0.27,,,0.27,,,0.27,,,0.27,,,0.27,,,0.27,,,0.27,,
Промсвязьбанк ПАО обл.03,RU000A0JS1F5,,,,,,40.39,,,,,,40.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ТГК-1 ПАО обл.03,RU000A0JS1W0,,,,,,22.44,,,,,,22.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Санкт-Пет.Телеком АО обл. 05,RU000A0JS3L9,,53.35,,,,,,53.35,,,,,,53.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Санкт-Пет.Телеком АО обл. 04,RU000A0JS3M7,,53.35,,,,,,53.35,,,,,,53.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПАО ""АНК ""Башнефть"" об. 04",RU000A0JS3U0,,34.90,,,,,,34.90,,,,,,34.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ТГК-1 ПАО обл.04,RU000A0JS470,,22.44,,,,,,22.44,,,,,,22.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Запад.скор.диаметр АО об.03,RU000A0JS4J1,,49.07,,,,,,49.07,,,,,,49.07,,,,,,49.07,,,,,,49.07,,,,,,49.07,,,,,,49.07,,,,,,49.07,,,,,
Запад.скор.диаметр АО об.04,RU000A0JS4K9,,49.07,,,,,,49.07,,,,,,49.07,,,,,,49.07,,,,,,49.07,,,,,,49.07,,,,,,49.07,,,,,,49.07,,,,,
Запад.скор.диаметр АО об.05,RU000A0JS4L7,,49.07,,,,,,49.07,,,,,,49.07,,,,,,49.07,,,,,,49.07,,,,,,49.07,,,,,,49.07,,,,,,49.07,,,,,
ВЭБ.РФ об. сер. 21,RU000A0JS4Z7,,,43.98,,,,,,43.98,,,,,43.98,,,,,,,43.98,,,,,43.98,,,,,,43.98,,,,,,43.98,,,,,,43.98,,,,,
МЕТАЛЛОИНВЕСТ ХК АО обл. 05,RU000A0JS5A7,,,0.05,,,,,,0.05,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
МЕТАЛЛОИНВЕСТ ХК АО обл. 01,RU000A0JS5B5,,,0.05,,,,,,0.05,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
